<number of tasks>
148
<number of stations>
13
<type of the robots>
4
<type of the models>
2
<task times by human and robots>
2 34 1000 193 101 154 42
2 35 140 1000 1000 1000 1000
2 36 145 1000 1000 1000 1000
2 37 1000 47 28 105 51
2 38 0 1000 1000 1000 1000
2 39 24 1000 1000 1000 1000
2 40 25 1000 1000 1000 1000
2 41 1000 95 144 42 98
2 42 131 1000 1000 1000 1000
2 43 1000 49 18 24 33
2 44 75 1000 1000 1000 1000
2 45 0 1000 1000 1000 1000
2 46 18 1000 1000 1000 1000
2 47 1000 31 50 32 46
2 48 1000 79 177 51 83
2 49 67 1000 1000 1000 1000
2 50 0 1000 1000 1000 1000
2 51 1000 140 38 26 83
2 52 1000 20 62 43 44
2 53 42 1000 1000 1000 1000
2 54 1000 45 86 79 31
2 55 0 1000 1000 1000 1000
2 56 81 1000 1000 1000 1000
2 57 56 1000 1000 1000 1000
2 58 1000 29 34 35 42
2 59 19 1000 1000 1000 1000
2 60 126 1000 1000 1000 1000
2 61 1000 35 196 126 93
2 62 82 1000 1000 1000 1000
2 63 1000 32 24 48 73
2 64 106 1000 1000 1000 1000
2 65 109 1000 1000 1000 1000
2 66 37 1000 1000 1000 1000
2 67 1000 56 99 37 30
2 68 70 1000 1000 1000 1000
2 69 66 1000 1000 1000 1000
2 70 99 1000 1000 1000 1000
2 71 1000 26 43 46 93
2 72 27 1000 1000 1000 1000
2 73 1000 32 63 18 32
2 74 48 1000 1000 1000 1000
2 75 1000 80 32 86 21
2 76 78 1000 1000 1000 1000
2 77 61 1000 1000 1000 1000
2 78 1000 31 92 63 26
2 79 171 1000 1000 1000 1000
2 80 95 1000 1000 1000 1000
2 81 1000 39 17 28 53
2 82 50 1000 1000 1000 1000
2 83 1000 22 31 116 144
2 84 181 1000 1000 1000 1000
2 85 36 1000 1000 1000 1000
2 86 1000 60 30 77 46
2 87 63 1000 1000 1000 1000
2 88 0 1000 1000 1000 1000
2 89 99 1000 1000 1000 1000
2 90 1000 171 68 23 39
2 91 1000 98 96 134 118
2 92 147 1000 1000 1000 1000
2 93 1000 93 27 164 169
2 94 100 1000 1000 1000 1000
2 95 91 1000 1000 1000 1000
2 96 1000 30 35 54 112
2 97 1000 59 59 59 59
2 98 56 1000 1000 1000 1000
2 99 1000 29 36 42 47
2 100 177 1000 1000 1000 1000
2 101 76 1000 1000 1000 1000
2 102 1000 139 83 61 65
2 103 1000 50 48 44 21
2 104 96 1000 1000 1000 1000
2 105 77 1000 1000 1000 1000
2 106 1000 116 34 81 97
2 107 84 1000 1000 1000 1000
2 108 1000 110 42 54 45
2 109 1000 61 35 195 60
2 110 0 1000 1000 1000 1000
2 111 94 1000 1000 1000 1000
2 112 31 1000 1000 1000 1000
2 113 1000 29 85 99 28
2 114 51 1000 1000 1000 1000
2 115 62 1000 1000 1000 1000
2 116 1000 30 60 34 36
2 117 153 153 153 153 153
2 118 88 1000 1000 1000 1000
2 119 1000 69 59 83 81
2 120 43 1000 1000 1000 1000
2 121 1000 87 60 172 68
2 122 20 1000 1000 1000 1000
2 123 66 1000 1000 1000 1000
2 124 1000 98 192 22 67
2 125 67 1000 1000 1000 1000
2 126 1000 20 80 36 37
2 127 57 1000 1000 1000 1000
2 128 1000 26 49 46 26
2 129 1000 55 42 97 138
2 130 18 1000 1000 1000 1000
2 131 1000 38 41 93 54
2 132 124 1000 1000 1000 1000
2 133 155 1000 1000 1000 1000
2 134 1000 30 81 57 81
2 135 17 1000 1000 1000 1000
2 136 25 1000 1000 1000 1000
2 137 58 1000 1000 1000 1000
2 138 23 1000 1000 1000 1000
2 139 62 1000 1000 1000 1000
2 140 76 1000 1000 1000 1000
2 141 1000 48 138 33 155
2 142 70 1000 1000 1000 1000
2 143 42 1000 1000 1000 1000
2 144 1000 96 76 98 61
2 145 198 1000 1000 1000 1000
2 146 0 1000 1000 1000 1000
2 147 1000 55 49 94 163
2 148 69 1000 1000 1000 1000
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
