<number of tasks>
111
<number of stations>
12
<type of the robots>
4
<type of the models>
2
<task times by human and robots>
1 59 93 1000 1000 1000 1000
1 60 162 1000 1000 1000 1000
1 61 1000 63 27 46 53
1 62 31 1000 1000 1000 1000
1 63 1000 31 66 82 68
1 64 65 1000 1000 1000 1000
1 65 100 1000 1000 1000 1000
1 66 60 1000 1000 1000 1000
1 67 1000 166 50 77 51
1 68 0 1000 1000 1000 1000
1 69 64 1000 1000 1000 1000
1 70 121 1000 1000 1000 1000
1 71 1000 56 46 27 62
1 72 45 1000 1000 1000 1000
1 73 1000 24 45 28 63
1 74 34 1000 1000 1000 1000
1 75 1000 84 36 49 89
1 76 68 1000 1000 1000 1000
1 77 0 1000 1000 1000 1000
1 78 1000 33 61 23 98
1 79 74 1000 1000 1000 1000
1 80 24 1000 1000 1000 1000
1 81 1000 27 31 60 61
1 82 92 1000 1000 1000 1000
1 83 1000 110 153 95 49
1 84 33 1000 1000 1000 1000
1 85 152 1000 1000 1000 1000
1 86 1000 119 22 39 86
1 87 34 1000 1000 1000 1000
1 88 1000 70 83 53 51
1 89 44 1000 1000 1000 1000
1 90 1000 39 36 92 23
1 91 1000 130 23 118 28
1 92 0 1000 1000 1000 1000
1 93 1000 129 50 196 19
1 94 38 1000 1000 1000 1000
1 95 0 1000 1000 1000 1000
1 96 1000 200 68 55 25
1 97 39 1000 1000 1000 1000
1 98 1000 35 62 183 80
1 99 1000 193 84 66 65
1 100 62 1000 1000 1000 1000
1 101 26 1000 1000 1000 1000
1 102 1000 23 38 28 20
1 103 1000 100 45 27 37
1 104 56 1000 1000 1000 1000
1 105 1000 89 107 33 19
1 106 42 1000 1000 1000 1000
1 107 115 1000 1000 1000 1000
1 108 1000 43 187 184 54
1 109 1000 32 158 18 189
1 110 84 1000 1000 1000 1000
1 111 75 1000 1000 1000 1000
2 1 1000 56 51 118 60
2 2 37 1000 1000 1000 1000
2 3 89 1000 1000 1000 1000
2 4 1000 54 40 62 43
2 5 84 1000 1000 1000 1000
2 6 1000 83 57 179 32
2 7 26 1000 1000 1000 1000
2 8 1000 55 24 84 21
2 9 31 1000 1000 1000 1000
2 10 1000 132 53 75 98
2 11 123 1000 1000 1000 1000
2 12 1000 42 23 18 35
2 13 44 1000 1000 1000 1000
2 14 1000 75 71 200 64
2 15 1000 21 45 93 193
2 16 93 1000 1000 1000 1000
2 17 1000 95 26 136 32
2 18 20 1000 1000 1000 1000
2 19 60 1000 1000 1000 1000
2 20 1000 74 36 17 26
2 21 135 1000 1000 1000 1000
2 22 1000 109 158 30 31
2 23 53 1000 1000 1000 1000
2 24 0 1000 1000 1000 1000
2 25 1000 52 178 30 82
2 26 34 1000 1000 1000 1000
2 27 1000 62 81 37 141
2 28 55 1000 1000 1000 1000
2 29 1000 67 49 22 26
2 30 65 1000 1000 1000 1000
2 31 184 1000 1000 1000 1000
2 32 1000 26 49 67 41
2 33 98 1000 1000 1000 1000
2 34 1000 66 88 24 42
2 35 162 1000 1000 1000 1000
2 36 0 1000 1000 1000 1000
2 37 1000 50 62 143 90
2 38 35 1000 1000 1000 1000
2 39 61 1000 1000 1000 1000
2 40 145 1000 1000 1000 1000
2 41 1000 123 36 185 56
2 42 61 1000 1000 1000 1000
2 43 1000 189 33 26 67
2 44 81 1000 1000 1000 1000
2 45 69 1000 1000 1000 1000
2 46 62 1000 1000 1000 1000
2 47 1000 49 105 97 26
2 48 1000 74 26 31 127
2 49 39 1000 1000 1000 1000
2 50 37 1000 1000 1000 1000
2 51 1000 35 56 165 82
2 52 1000 31 22 36 40
2 53 40 1000 1000 1000 1000
2 54 1000 47 116 20 21
2 55 64 1000 1000 1000 1000
2 56 0 1000 1000 1000 1000
2 57 1000 57 26 42 76
2 58 33 1000 1000 1000 1000
2 59 41 1000 1000 1000 1000
2 60 48 1000 1000 1000 1000
2 61 1000 161 141 24 45
2 62 53 1000 1000 1000 1000
2 63 1000 43 73 20 20
2 64 0 1000 1000 1000 1000
2 65 59 1000 1000 1000 1000
2 66 99 1000 1000 1000 1000
2 67 1000 99 87 31 41
2 68 43 1000 1000 1000 1000
2 69 96 1000 1000 1000 1000
2 70 53 1000 1000 1000 1000
2 71 1000 85 91 54 66
2 72 45 1000 1000 1000 1000
2 73 1000 96 82 124 51
2 74 30 1000 1000 1000 1000
2 75 1000 59 50 43 89
2 76 25 1000 1000 1000 1000
2 77 69 1000 1000 1000 1000
2 78 1000 69 56 55 36
2 79 52 1000 1000 1000 1000
2 80 30 1000 1000 1000 1000
2 81 1000 43 181 183 45
2 82 0 1000 1000 1000 1000
2 83 1000 52 31 23 30
2 84 39 1000 1000 1000 1000
2 85 31 1000 1000 1000 1000
2 86 1000 75 40 61 25
2 87 30 1000 1000 1000 1000
2 88 1000 181 22 78 168
2 89 29 1000 1000 1000 1000
2 90 1000 76 66 18 117
2 91 1000 35 98 124 115
2 92 76 1000 1000 1000 1000
2 93 1000 87 87 56 81
2 94 77 1000 1000 1000 1000
2 95 56 1000 1000 1000 1000
2 96 1000 53 58 31 44
2 97 33 1000 1000 1000 1000
2 98 1000 48 78 56 68
2 99 1000 28 34 81 22
2 100 168 1000 1000 1000 1000
2 101 66 1000 1000 1000 1000
2 102 1000 91 55 22 69
2 103 1000 38 102 20 127
2 104 58 1000 1000 1000 1000
2 105 1000 74 52 28 61
2 106 79 1000 1000 1000 1000
2 107 165 1000 1000 1000 1000
2 108 1000 32 36 195 194
2 109 1000 87 60 74 69
2 110 0 1000 1000 1000 1000
2 111 180 1000 1000 1000 1000
<precedence relations>
1,2
2,3
3,4
4,5
4,6
4,7
4,8
4,9
4,10
5,39
6,39
7,83
8,71
9,32
10,11
10,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
13,71
14,22
14,23
14,24
14,25
15,26
16,27
17,28
18,29
19,30
20,91
21,111
22,31
22,83
23,32
23,33
24,69
24,70
25,34
26,82
27,35
28,36
29,37
30,38
31,39
32,41
33,111
34,42
35,43
36,44
36,91
37,45
37,91
38,46
38,91
39,40
40,111
41,69
41,70
42,47
43,48
43,49
44,50
45,51
46,52
47,54
47,55
47,56
47,57
47,58
47,59
47,60
48,53
49,91
50,111
51,111
52,111
53,111
54,69
54,70
55,61
55,62
55,63
56,63
56,64
57,65
57,91
58,66
58,91
59,67
59,91
60,68
60,91
61,69
61,70
62,71
63,111
64,72
65,111
66,111
67,111
68,111
69,77
69,78
70,73
71,91
72,74
73,75
74,76
75,77
75,78
75,79
76,80
76,81
76,82
77,83
78,84
79,85
80,86
80,91
81,87
81,91
82,111
83,91
84,88
84,89
84,91
85,111
86,111
87,90
88,105
89,105
90,111
91,92
91,93
91,94
92,95
93,95
94,95
95,96
95,97
95,98
95,99
95,100
95,104
96,101
97,102
98,103
99,111
100,111
101,105
102,106
102,107
103,107
103,108
104,111
105,111
106,109
107,111
108,110
109,111
110,111
<end>
