<number of tasks>
89
<number of stations>
10
<type of the robots>
4
<type of the models>
2
<task times by human and robots>
2 40 33 1000 1000 1000 1000
2 41 1000 182 29 63 94
2 42 44 1000 1000 1000 1000
2 43 55 1000 1000 1000 1000
2 44 99 1000 1000 1000 1000
2 45 1000 48 29 46 90
2 46 39 1000 1000 1000 1000
2 47 1000 18 33 24 17
2 48 1000 50 172 98 58
2 49 198 1000 1000 1000 1000
2 50 61 1000 1000 1000 1000
2 51 1000 117 129 85 80
2 52 1000 74 35 53 91
2 53 29 1000 1000 1000 1000
2 54 1000 32 83 35 41
2 55 175 1000 1000 1000 1000
2 56 33 1000 1000 1000 1000
2 57 1000 84 140 72 88
2 58 17 1000 1000 1000 1000
2 59 0 1000 1000 1000 1000
2 60 0 1000 1000 1000 1000
2 61 1000 85 29 194 52
2 62 30 1000 1000 1000 1000
2 63 1000 164 56 52 33
2 64 1000 92 123 42 36
2 65 37 1000 1000 1000 1000
2 66 43 1000 1000 1000 1000
2 67 1000 43 51 35 117
2 68 1000 85 86 74 23
2 69 73 1000 1000 1000 1000
2 70 1000 1000 1000 1000 1000
2 71 1000 58 198 47 98
2 72 30 1000 1000 1000 1000
2 73 1000 94 36 82 126
2 74 58 1000 1000 1000 1000
2 75 1000 63 34 85 188
2 76 1000 1000 1000 1000 1000
2 77 1000 144 74 42 52
2 78 1000 87 96 36 33
2 79 50 1000 1000 1000 1000
2 80 0 1000 1000 1000 1000
2 81 1000 58 104 70 135
2 82 36 1000 1000 1000 1000
2 83 1000 80 172 46 58
2 84 0 1000 1000 1000 1000
2 85 22 1000 1000 1000 1000
2 86 1000 28 45 74 125
2 87 50 1000 1000 1000 1000
2 88 1000 83 112 26 94
2 89 97 1000 1000 1000 1000
<precedence relations>
1,2
2,3
3,4
4,5
4,6
4,7
4,8
4,9
5,10
6,11
7,12
8,18
9,18
10,14
11,12
12,13
13,14
14,15
14,16
15,17
16,54
17,18
18,19
18,20
19,22
20,21
20,28
21,54
22,23
23,24
24,25
25,26
25,27
25,29
26,37
27,33
28,29
29,31
30,54
31,32
32,33
33,34
34,35
35,36
35,37
36,38
37,38
38,39
39,40
39,41
39,42
39,43
40,44
41,53
42,53
43,45
44,52
45,46
46,47
47,48
47,49
49,50
50,51
51,52
52,53
53,68
53,69
53,70
53,71
54,55
55,56
56,57
57,58
57,59
57,60
57,61
57,62
57,63
57,64
57,65
57,66
58,67
59,67
60,67
61,67
62,67
63,67
64,67
65,67
66,67
67,73
68,72
69,72
70,72
71,73
72,78
72,80
73,74
74,75
74,76
75,77
76,81
77,78
78,79
79,81
80,81
80,87
81,82
81,84
81,85
82,83
83,86
84,86
85,86
86,87
86,89
87,88
87,89
<end>
